"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",NA,NA,1,0.316,0.0835,0.0635,0.0433333333333333,0.0186666666666667,0.0123333333333333,0.00933333333333333,0.00816666666666667,0.0075,0.00116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",NA,NA,1,0.276166666666667,0.0446666666666667,0.0231666666666667,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",NA,NA,1,0.301666666666667,0.0551666666666667,0.0305,0.0213333333333333,0.0158333333333333,0.0145,0.0123333333333333,0.0106666666666667,0.0105,0.01,0.00883333333333333,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",NA,NA,NA,1,0.329833333333333,0.101166666666667,0.0773333333333333,0.0525,0.0191666666666667,0.0123333333333333,0.00783333333333333,0.00266666666666667,0.00116666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",NA,NA,NA,1,1,0.998333333333333,0.989333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,NA,NA,1,0.354166666666667,0.079,0.05,0.0263333333333333,0.00666666666666667,0.00233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,NA,NA,1,0.281,0.046,0.0276666666666667,0.0203333333333333,0.0163333333333333,0.016,0.0133333333333333,0.00766666666666667,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,NA,NA,NA,NA,1,0.983333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",NA,NA,NA,NA,NA,1,0.321333333333333,0.102333333333333,0.077,0.0543333333333333,0.0375,0.027,0.0238333333333333,0.0216666666666667,0.0176666666666667,0.0111666666666667,0.00783333333333333,0.00516666666666667,0.00216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,NA,NA,NA,NA,1,0.309166666666667,0.0708333333333333,0.0471666666666667,0.0348333333333333,0.0218333333333333,0.013,0.00833333333333333,0.00266666666666667,0.00116666666666667,0.000833333333333333,0.000333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",NA,NA,NA,NA,NA,1,0.342833333333333,0.1315,0.110166666666667,0.0971666666666667,0.0805,0.0665,0.0446666666666667,0.0333333333333333,0.0298333333333333,0.029,0.0248333333333333,0.0195,0.0183333333333333,0.0165,0.0123333333333333,0.011,0.00933333333333333,0.00733333333333333,0.00733333333333333,0.00583333333333333,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
