"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",NA,NA,1,1.684,2.59433333333333,2.851,2.893,2.93783333333333,2.96883333333333,2.97833333333333,2.9825,2.98433333333333,2.99133333333333,2.99866666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"2",NA,NA,1,1.72383333333333,2.6725,2.92983333333333,2.97233333333333,2.996,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"3",NA,NA,1,1.69833333333333,2.63783333333333,2.912,2.94816666666667,2.96283333333333,2.96966666666667,2.97316666666667,2.977,2.97883333333333,2.9795,2.98116666666667,2.9885,2.99716666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"4",NA,NA,NA,1,2,2.99133333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"5",NA,NA,NA,1,1.67016666666667,2.565,2.82016666666667,2.87,2.92816666666667,2.96833333333333,2.97983333333333,2.9895,2.99616666666667,2.99866666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"6",NA,NA,NA,1,1,1.00166666666667,1.01066666666667,2,2.9935,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"7",NA,NA,NA,1,1.64583333333333,2.56066666666667,2.869,2.92333333333333,2.96683333333333,2.99083333333333,2.9975,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"8",NA,NA,NA,1,1.719,2.66766666666667,2.925,2.95166666666667,2.96333333333333,2.96766666666667,2.97066666666667,2.979,2.98816666666667,2.99583333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"9",NA,NA,NA,NA,NA,1,1.01666666666667,2,2.99266666666667,2.99983333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"10",NA,NA,NA,NA,NA,1,2,2.99366666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"11",NA,NA,NA,NA,NA,1,1.67866666666667,2.5715,2.81933333333333,2.8685,2.90816666666667,2.9355,2.94916666666667,2.95433333333333,2.96066666666667,2.97116666666667,2.98083333333333,2.987,2.9925,2.99783333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"12",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1.009,2,2.992,2.99966666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"13",NA,NA,NA,NA,NA,1,1.69083333333333,2.6145,2.87966666666667,2.918,2.943,2.965,2.97866666666667,2.98883333333333,2.99616666666667,2.99783333333333,2.99883333333333,2.99966666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"14",NA,NA,NA,NA,NA,1,1.65716666666667,2.521,2.75766666666667,2.79233333333333,2.82233333333333,2.853,2.88866666666667,2.922,2.93666666666667,2.94116666666667,2.946,2.95566666666667,2.96216666666667,2.96516666666667,2.97116666666667,2.97666666666667,2.97966666666667,2.98333333333333,2.98533333333333,2.98683333333333,2.99366666666667,2.9995,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
