Ring_No,Date_recovered,Day_recorded,Month_recorded,Year_recorded,Accurancy_of_date_Euring_code,Condition_Euring_code,Circumstances_Euring_code,Circumstances_Euring_text,When dead,Date_reported
124373,08/08/2017,8,8,2017,0,7,29,Colur mark record,,08.08.2017
137200,29/10/2017,29,10,2017,0,5,50,"Found injured, killed",,31.10.2017
V_FaRu0089,28/12/2017,28,12,2017,0,3,01,Bird found long dead,Died autumn 2017,19.03.2018
V_FaRu0093,28/02/2018,28,2,2018,0,7,29,Colur mark record,,28.02.2018
137197,21/04/2018,21,4,2018,0,3,01,Bird found long dead,,23.04.2018
137196,25/04/2018,25,4,2018,0,7,29,Colur mark record,,26.04.2018
133625,27/05/2018,27,5,2018,0,3,01,Bird found long dead,Died late winter 2017-2018,27.05.2018
133644,03/06/2018,3,6,2018,0,7,29,Colur mark record,,18.07.2018
133621,09/06/2018,9,6,2018,0,7,29,Colur mark record,,18.07.2018
V_FaRu0028,09/06/2018,9,6,2018,0,7,29,Colur mark record,,18.07.2018
V_FaRu0060,11/06/2018,11,6,2018,0,7,29,Colur mark record,,18.07.2018
137164,17/06/2018,17,6,2018,0,7,29,Colur mark record,,18.07.2018
V_FaRu0092,28/06/2018,28,6,2018,0,7,29,Colur mark record,,15.07.2018
124384,04/07/2018,4,7,2018,0,2,01,"Road casuality, killed",,04.07.2018
15710,28/07/2018,28,7,2018,0,3,01,Chick dead in nest,Died in nest,02.09.2019
139347,10/08/2018,10,8,2018,0,2,01,Bird found dead (fresh),,13.08.2018
139342,22/08/2018,22,8,2018,0,2,01,"Road casuality, killed",,27.08.2018
139343,12/02/2019,12,2,2019,0,7,29,Colur mark record,,12.02.2019
V_FaRu0091,19/02/2019,19,2,2019,0,7,29,Colur mark record,,19.02.2019
124003,25/04/2019,25,4,2019,0,2,01,Bird found dead (fresh),,25.04.2019
139343,14/05/2019,14,5,2019,0,7,29,Colur mark record,,23.05.2019
124374,21/05/2019,21,5,2019,0,2,01,"Road casuality, killed",,22.05.2019
124389,26/05/2019,26,5,2019,0,3,01,Bird found long dead,Died in autumn 2018,03.06.2019
139333,14/06/2019,14,6,2019,0,3,01,Bird found long dead,Died in autumn 2018,30.08.2019
137164,15/06/2019,15,6,2019,0,7,29,Colur mark record,,21.08.2019
133644,20/06/2019,20,6,2019,0,7,29,Colur mark record,,21.08.2019
V_FaRu0060,27/06/2019,27,6,2019,0,7,29,Colur mark record,,21.08.2019
V_FARU0118,30/07/2019,30,7,2019,0,3,01,Chick dead in nest,Died in nest,30.08.2019
139344,15/11/2019,15,11,2019,0,2,01,Bird found dead (less than month),,15.11.2019
142970,10/12/2019,10,12,2019,0,2,01,"Road casuality, killed",,17.01.2020
139322,11/12/2019,11,12,2019,0,3,01,Bird found long dead,Died in winter 2018-2019,17.12.2019
