Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
15551,7/12/1975,12,7,1975,1,Pullus,0
15552,7/12/1975,12,7,1975,1,Pullus,0
15553,7/12/1975,12,7,1975,1,Pullus,0
15554,6/20/1976,20,6,1976,1,Pullus,0
15555,6/20/1976,20,6,1976,1,Pullus,0
15556,6/20/1976,20,6,1976,1,Pullus,0
15557,6/20/1976,20,6,1976,1,Pullus,0
15558,7/25/1976,25,7,1976,1,Pullus,0
15559,6/15/1978,15,6,1978,1,Pullus,0
15560,6/15/1978,15,6,1978,1,Pullus,0
15561,6/15/1978,15,6,1978,1,Pullus,0
15562,6/15/1978,15,6,1978,1,Pullus,0
15563,7/6/1978,6,7,1978,1,Pullus,0
15564,7/6/1978,6,7,1978,1,Pullus,0
15565,7/6/1978,6,7,1978,1,Pullus,0
15566,7/6/1978,6,7,1978,1,Pullus,0
15567,6/26/1982,26,6,1982,1,Pullus,0
15568,6/26/1982,26,6,1982,1,Pullus,0
15569,6/26/1982,26,6,1982,1,Pullus,0
15570,6/26/1982,26,6,1982,1,Pullus,0
15653,6/12/1985,12,6,1985,1,Pullus,0
15654,6/12/1985,12,6,1985,1,Pullus,0
15655,6/13/1985,13,6,1985,1,Pullus,0
15656,6/13/1985,13,6,1985,1,Pullus,0
15657,6/13/1985,13,6,1985,1,Pullus,0
15658,6/13/1985,13,6,1985,1,Pullus,0
15659,6/15/1985,15,6,1985,1,Pullus,0
15660,6/15/1985,15,6,1985,1,Pullus,0
15661,6/15/1985,15,6,1985,1,Pullus,0
15664,6/24/1990,24,6,1990,1,Pullus,0
15665,6/22/1985,22,6,1985,1,Pullus,0
15666,6/22/1985,22,6,1985,1,Pullus,0
15667,6/29/1985,29,6,1985,1,Pullus,0
15668,6/29/1985,29,6,1985,1,Pullus,0
15669,6/29/1985,29,6,1985,1,Pullus,0
15670,6/29/1985,29,6,1985,1,Pullus,0
15671,6/29/1985,29,6,1985,1,Pullus,0
15672,6/18/1985,18,6,1985,1,Pullus,0
15673,6/18/1985,18,6,1985,1,Pullus,0
15674,6/24/1990,24,6,1990,1,Pullus,0
15675,6/24/1990,24,6,1990,1,Pullus,0
15801,6/20/1985,20,6,1985,1,Pullus,M
15802,6/20/1985,20,6,1985,1,Pullus,M
15803,6/21/1985,21,6,1985,1,Pullus,M
15804,6/21/1985,21,6,1985,1,Pullus,M
15805,6/25/1985,25,6,1985,1,Pullus,M
15806,6/28/1985,28,6,1985,1,Pullus,M
15807,6/28/1985,28,6,1985,1,Pullus,M
15808,6/28/1985,28,6,1985,1,Pullus,M
15809,6/28/1985,28,6,1985,1,Pullus,M
15818,6/11/1986,11,6,1986,1,Pullus,M
15819,6/12/1986,12,6,1986,1,Pullus,M
15820,6/22/1986,22,6,1986,1,Pullus,M
15821,6/24/1986,24,6,1986,1,Pullus,M
15822,6/26/1986,26,6,1986,1,Pullus,M
15823,6/26/1986,26,6,1986,1,Pullus,M
15824,6/21/1987,21,6,1987,1,Pullus,M
15825,6/23/1987,23,6,1987,1,Pullus,M
15826,6/23/1987,23,6,1987,1,Pullus,M
15827,6/26/1987,26,6,1987,1,Pullus,M
15828,6/26/1987,26,6,1987,1,Pullus,M
15829,6/26/1987,26,6,1987,1,Pullus,M
15830,6/26/1987,26,6,1987,1,Pullus,M
15831,6/26/1987,26,6,1987,1,Pullus,M
15832,6/28/1987,28,6,1987,1,Pullus,M
15833,6/26/1991,26,6,1991,1,Pullus,0
15834,6/26/1991,26,6,1991,1,Pullus,0
15835,6/26/1991,26,6,1991,1,Pullus,0
15836,6/26/1991,26,6,1991,1,Pullus,0
15837,6/27/1991,27,6,1991,1,Pullus,0
15838,6/30/1991,30,6,1991,1,Pullus,0
15839,6/30/1991,30,6,1991,1,Pullus,0
15948,6/17/1986,17,6,1986,1,Pullus,0
15952,6/21/1988,21,6,1988,1,Pullus,M
15953,6/22/1988,22,6,1988,1,Pullus,M
15954,6/22/1988,22,6,1988,1,Pullus,M
15955,6/23/1988,23,6,1988,1,Pullus,M
15956,6/23/1988,23,6,1988,1,Pullus,F
15957,6/23/1988,23,6,1988,1,Pullus,M
15958,6/24/1988,24,6,1988,1,Pullus,M
15959,6/25/1988,25,6,1988,1,Pullus,M
15960,6/25/1988,25,6,1988,1,Pullus,M
15961,6/25/1988,25,6,1988,1,Pullus,M
15962,7/9/1988,9,7,1988,1,Pullus,M
15963,7/9/1988,9,7,1988,1,Pullus,M
15964,7/9/1988,9,7,1988,1,Pullus,M
15965,7/10/1988,10,7,1988,1,Pullus,M
15966,7/10/1988,10,7,1988,1,Pullus,M
15967,7/11/1988,11,7,1988,1,Pullus,M
15968,7/11/1988,11,7,1988,1,Pullus,M
15969,7/14/1988,14,7,1988,1,Pullus,M
15970,6/23/1989,23,6,1989,1,Pullus,M
15971,6/24/1989,24,6,1989,1,Pullus,M
15972,6/24/1989,24,6,1989,1,Pullus,M
15973,6/24/1989,24,6,1989,1,Pullus,M
15974,6/24/1989,24,6,1989,1,Pullus,M
15975,6/24/1989,24,6,1989,1,Pullus,M
15976,6/24/1989,24,6,1989,1,Pullus,M
15977,6/25/1989,25,6,1989,1,Pullus,M
15978,6/25/1989,25,6,1989,1,Pullus,M
15979,6/25/1989,25,6,1989,1,Pullus,M
15980,6/25/1989,25,6,1989,1,Pullus,M
15981,6/25/1989,25,6,1989,1,Pullus,M
15982,6/26/1989,26,6,1989,1,Pullus,M
15983,6/26/1989,26,6,1989,1,Pullus,M
15984,6/26/1989,26,6,1989,1,Pullus,M
15985,6/26/1989,26,6,1989,1,Pullus,M
15986,6/26/1989,26,6,1989,1,Pullus,M
15987,6/27/1989,27,6,1989,1,Pullus,M
15988,6/27/1989,27,6,1989,1,Pullus,M
15989,6/27/1989,27,6,1989,1,Pullus,M
15990,6/27/1989,27,6,1989,1,Pullus,M
15991,6/27/1989,27,6,1989,1,Pullus,M
15992,6/29/1989,29,6,1989,1,Pullus,M
15993,6/29/1989,29,6,1989,1,Pullus,M
15994,6/29/1989,29,6,1989,1,Pullus,M
15995,7/2/1989,2,7,1989,1,Pullus,M
15996,6/15/1990,15,6,1990,1,Pullus,M
15997,6/16/1990,16,6,1990,1,Pullus,M
15998,6/18/1990,18,6,1990,1,Pullus,M
15999,6/20/1990,20,6,1990,1,Pullus,M
16000,6/20/1990,20,6,1990,1,Pullus,M
16151,6/14/1973,14,6,1973,1,Pullus,0
16152,6/14/1973,14,6,1973,1,Pullus,0
16200,6/29/1975,29,6,1975,1,Pullus,0
