Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
137192,6/17/2017,17,6,2017,1,Pullus,F
137193,6/17/2017,17,6,2017,1,Pullus,F
137194,6/17/2017,17,6,2017,1,Pullus,F
137195,6/17/2017,17,6,2017,1,Pullus,F
137196,6/17/2017,17,6,2017,1,Pullus,F
124372,6/17/2017,17,6,2017,1,Pullus,M
124373,6/17/2017,17,6,2017,1,Pullus,M
124374,6/19/2017,19,6,2017,1,Pullus,M
124375,6/19/2017,19,6,2017,1,Pullus,M
137197,6/19/2017,19,6,2017,1,Pullus,F
137198,6/19/2017,19,6,2017,1,Pullus,F
137199,6/19/2017,19,6,2017,1,Pullus,F
137200,6/19/2017,19,6,2017,1,Pullus,F
139303,6/20/2017,20,6,2017,1,Pullus,F
139304,6/25/2017,25,6,2017,1,Pullus,F
139305,6/25/2017,25,6,2017,1,Pullus,F
139306,6/25/2017,25,6,2017,1,Pullus,F
124376,6/25/2017,25,6,2017,1,Pullus,M
124377,6/25/2017,25,6,2017,1,Pullus,M
124378,6/25/2017,25,6,2017,1,Pullus,M
139307,6/28/2017,28,6,2017,1,Pullus,F
139309,6/8/2018,8,6,2018,1,Pullus,F
124379,6/8/2018,8,6,2018,1,Pullus,M
124380,6/8/2018,8,6,2018,1,Pullus,M
124381,6/10/2018,10,6,2018,1,Pullus,M
139310,6/10/2018,10,6,2018,1,Pullus,F
139311,6/10/2018,10,6,2018,1,Pullus,F
139312,6/10/2018,10,6,2018,1,Pullus,F
139313,6/10/2018,10,6,2018,1,Pullus,F
139314,6/10/2018,10,6,2018,1,Pullus,F
139315,6/10/2018,10,6,2018,1,Pullus,F
139316,6/10/2018,10,6,2018,1,Pullus,F
139317,6/15/2018,15,6,2018,1,Pullus,F
139318,6/15/2018,15,6,2018,1,Pullus,F
139319,6/15/2018,15,6,2018,1,Pullus,F
139320,6/15/2018,15,6,2018,1,Pullus,F
139321,6/15/2018,15,6,2018,1,Pullus,F
139322,6/15/2018,15,6,2018,1,Pullus,F
139323,6/15/2018,15,6,2018,1,Pullus,F
139324,6/15/2018,15,6,2018,1,Pullus,F
139325,6/15/2018,15,6,2018,1,Pullus,F
124382,6/15/2018,15,6,2018,1,Pullus,M
124383,6/15/2018,15,6,2018,1,Pullus,M
124384,6/15/2018,15,6,2018,1,Pullus,M
124385,6/16/2018,16,6,2018,1,Pullus,M
124386,6/16/2018,16,6,2018,1,Pullus,M
124387,6/16/2018,16,6,2018,1,Pullus,M
139326,6/16/2018,16,6,2018,1,Pullus,F
139327,6/16/2018,16,6,2018,1,Pullus,F
139328,6/16/2018,16,6,2018,1,Pullus,F
139329,6/16/2018,16,6,2018,1,Pullus,F
139330,6/16/2018,16,6,2018,1,Pullus,F
139331,6/16/2018,16,6,2018,1,Pullus,F
139332,6/17/2018,17,6,2018,1,Pullus,F
139333,6/17/2018,17,6,2018,1,Pullus,F
139334,6/17/2018,17,6,2018,1,Pullus,F
139335,6/17/2018,17,6,2018,1,Pullus,F
139336,6/17/2018,17,6,2018,1,Pullus,F
124388,6/17/2018,17,6,2018,1,Pullus,M
124389,6/17/2018,17,6,2018,1,Pullus,M
124390,6/17/2018,17,6,2018,1,Pullus,M
124391,6/17/2018,17,6,2018,1,Pullus,M
124392,6/17/2018,17,6,2018,1,Pullus,M
124393,6/17/2018,17,6,2018,1,Pullus,M
139337,6/19/2018,19,6,2018,1,Pullus,0
139338,6/19/2018,19,6,2018,1,Pullus,0
139339,6/19/2018,19,6,2018,1,Pullus,F
139340,6/19/2018,19,6,2018,1,Pullus,0
139341,6/19/2018,19,6,2018,1,Pullus,F
139342,6/20/2018,20,6,2018,1,Pullus,F
139343,6/20/2018,20,6,2018,1,Pullus,F
124394,6/20/2018,20,6,2018,1,Pullus,M
124395,6/20/2018,20,6,2018,1,Pullus,M
124396,6/20/2018,20,6,2018,1,Pullus,M
124397,6/21/2018,21,6,2018,1,Pullus,M
124398,6/21/2018,21,6,2018,1,Pullus,M
124399,6/21/2018,21,6,2018,1,Pullus,M
124400,6/21/2018,21,6,2018,1,Pullus,M
139344,6/21/2018,21,6,2018,1,Pullus,F
139345,6/21/2018,21,6,2018,1,Pullus,F
15701,6/21/2018,21,6,2018,1,Pullus,M
15702,6/22/2018,22,6,2018,1,Pullus,M
15703,6/22/2018,22,6,2018,1,Pullus,M
15704,6/22/2018,22,6,2018,1,Pullus,M
15705,6/22/2018,22,6,2018,1,Pullus,M
139346,6/22/2018,22,6,2018,1,Pullus,F
139347,6/22/2018,22,6,2018,1,Pullus,F
139348,6/23/2018,23,6,2018,1,Pullus,0
139349,6/23/2018,23,6,2018,1,Pullus,0
139350,6/25/2018,25,6,2018,1,Pullus,F
15706,6/25/2018,25,6,2018,1,Pullus,M
15707,6/25/2018,25,6,2018,1,Pullus,M
15708,6/25/2018,25,6,2018,1,Pullus,M
15709,6/25/2018,25,6,2018,1,Pullus,M
142952,6/25/2018,25,6,2018,1,Pullus,F
142953,6/29/2018,29,6,2018,1,Pullus,F
15710,6/29/2018,29,6,2018,1,Pullus,M
15711,6/29/2018,29,6,2018,1,Pullus,M
15712,6/29/2018,29,6,2018,1,Pullus,M
V_FaRu0114,6/29/2018,29,6,2018,1,Pullus,M
V_FaRu0115,6/29/2018,29,6,2018,1,Pullus,M
V_FaRu0116,6/29/2018,29,6,2018,1,Pullus,M
15713,6/15/2019,15,6,2019,1,Pullus,M
15714,6/15/2019,15,6,2019,1,Pullus,M
15715,6/15/2019,15,6,2019,1,Pullus,M
15716,6/15/2019,15,6,2019,1,Pullus,M
15717,6/15/2019,15,6,2019,1,Pullus,M
142955,6/15/2019,15,6,2019,1,Pullus,F
142956,6/15/2019,15,6,2019,1,Pullus,F
142957,6/15/2019,15,6,2019,1,Pullus,F
15718,6/16/2019,16,6,2019,1,Pullus,M
15719,6/16/2019,16,6,2019,1,Pullus,M
142958,6/16/2019,16,6,2019,1,Pullus,F
142959,6/16/2019,16,6,2019,1,Pullus,F
142961,6/16/2019,16,6,2019,1,Pullus,F
142962,6/16/2019,16,6,2019,1,Pullus,F
142963,6/16/2019,16,6,2019,1,Pullus,F
15720,6/17/2019,17,6,2019,1,Pullus,M
15721,6/17/2019,17,6,2019,1,Pullus,M
142960,6/17/2019,17,6,2019,1,Pullus,F
142964,6/19/2019,19,6,2019,1,Pullus,F
142965,6/19/2019,19,6,2019,1,Pullus,F
142966,6/19/2019,19,6,2019,1,Pullus,F
142967,6/19/2019,19,6,2019,1,Pullus,F
142970,6/20/2019,20,6,2019,1,Pullus,F
15722,6/20/2019,20,6,2019,1,Pullus,M
142968,6/20/2019,20,6,2019,1,Pullus,F
142969,6/20/2019,20,6,2019,1,Pullus,F
142971,6/20/2019,20,6,2019,1,Pullus,F
142972,6/20/2019,20,6,2019,1,Pullus,F
142973,6/20/2019,20,6,2019,1,Pullus,F
142974,6/20/2019,20,6,2019,1,Pullus,F
15723,6/21/2019,21,6,2019,1,Pullus,M
142975,6/21/2019,21,6,2019,1,Pullus,F
15724,6/22/2019,22,6,2019,1,Pullus,M
15725,6/22/2019,22,6,2019,1,Pullus,M
15726,6/22/2019,22,6,2019,1,Pullus,M
142976,6/22/2019,22,6,2019,1,Pullus,F
142977,6/22/2019,22,6,2019,1,Pullus,F
142978,6/22/2019,22,6,2019,1,Pullus,F
142979,6/22/2019,22,6,2019,1,Pullus,F
V_FARU0117,6/23/2019,23,6,2019,1,Pullus,0
V_FARU0118,6/23/2019,23,6,2019,1,Pullus,0
142980,6/23/2019,23,6,2019,1,Pullus,0
142981,6/23/2019,23,6,2019,1,Pullus,F
142982,6/23/2019,23,6,2019,1,Pullus,0
142983,6/23/2019,23,6,2019,1,Pullus,0
15727,6/24/2019,24,6,2019,1,Pullus,M
15728,6/24/2019,24,6,2019,1,Pullus,M
15729,6/24/2019,24,6,2019,1,Pullus,M
15730,6/24/2019,24,6,2019,1,Pullus,M
15731,6/25/2019,25,6,2019,1,Pullus,M
15732,6/25/2019,25,6,2019,1,Pullus,M
142984,6/25/2019,25,6,2019,1,Pullus,F
142985,6/25/2019,25,6,2019,1,Pullus,F
V_FARU0119,6/26/2019,26,6,2019,1,Pullus,0
15733,6/26/2019,26,6,2019,1,Pullus,M
142986,6/26/2019,26,6,2019,1,Pullus,F
142987,6/26/2019,26,6,2019,1,Pullus,F
15734,6/27/2019,27,6,2019,1,Pullus,M
142988,6/27/2019,27,6,2019,1,Pullus,F
142989,6/27/2019,27,6,2019,1,Pullus,F
142990,6/27/2019,27,6,2019,1,Pullus,F
