Mánaðarmeðaltöl fyrir stöð 422 - Akureyri
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
422	1949	1	 -3.3	  0.3	 12.0	9	 -7.0	-16.4	12	 84.0	 35.2	  5.2	6	 996.1	6.3	 8.9	 4.4
422	1949	2	  0.0	  3.1	 10.0	2	 -2.5	 -8.0	28	 81.0	 22.2	  5.8	20	 989.8	5.9	27.7	 3.5
422	1949	3	 -0.8	  2.5	 11.2	28	 -4.2	-15.2	14	 83.0	 19.4	  7.0	16	1011.0	6.1	102.5	 3.2
422	1949	4	 -1.6	  2.1	  7.0	14	 -4.5	-10.7	8	 86.0	 21.5	  4.0	18	1002.1	6.6	64.4	 2.9
422	1949	5	  1.9	  5.4	 17.0	9	 -0.7	 -6.6	8	 83.0	 44.5	 23.6	28	1017.1	6.8	NA	 4.0
422	1949	6	 10.1	 14.4	 23.0	21	  6.2	  0.5	8	 78.0	 17.7	  6.5	13	1017.2	5.7	179.9	 2.0
422	1949	7	 11.8	 16.0	 23.5	7	  8.8	  4.0	5	 79.0	 22.0	 10.7	23	1013.4	6.0	191.6	 1.9
422	1949	8	  9.4	 13.0	 18.5	27	  6.7	  1.8	17	 79.0	 19.5	  8.0	29	1010.0	6.7	113.8	 2.6
422	1949	9	  9.3	 13.3	 21.4	12	  6.5	 -0.5	30	 76.0	 33.6	 10.9	1	1009.3	6.2	70.9	 2.9
422	1949	10	  2.9	  6.3	 12.6	12	  0.2	 -6.5	25	 85.0	 26.0	  5.0	20	1004.5	6.4	NA	 2.1
422	1949	11	  1.4	  4.2	 11.2	28	 -1.6	-13.0	14	 83.0	 37.1	 17.2	23	 999.4	6.6	NA	 3.0
422	1949	12	 -3.0	 -0.3	  6.5	24	 -6.9	-18.1	21	 87.0	 94.8	 23.1	27	 998.8	6.1	NA	 2.9
422	1950	1	  1.7	  5.0	 10.5	19	 -1.9	 -8.1	7	 80.0	 29.1	  8.9	14	1001.5	6.0	NA	 3.8
422	1950	2	 -2.3	  1.1	  6.2	4	 -5.5	-16.0	24	 80.0	 52.7	 10.7	14	 996.3	6.4	NA	 3.6
422	1950	3	 -0.1	  3.6	 10.0	28	 -3.5	-13.4	19	 83.0	 46.7	 21.6	17	1006.5	5.8	NA	 3.2
422	1950	4	 -0.2	  3.0	  6.5	14	 -3.0	 -7.0	22	 90.0	 29.8	  9.9	11	1005.6	6.5	NA	 3.8
422	1950	5	  6.8	 11.1	 17.5	10	  3.0	 -2.5	3	 72.0	 11.6	  5.2	16	1019.9	5.3	72.0	 3.6
422	1950	6	  8.7	 12.4	 20.6	14	  5.7	  2.5	29	 79.0	  4.5	  1.7	20	1009.6	5.8	151.6	 4.3
422	1950	7	 11.2	 15.2	 20.8	16	  8.0	  5.0	8	 78.0	 42.0	 10.5	26	1009.7	6.5	124.2	 3.0
422	1950	8	 10.6	 14.2	 19.2	1	  8.3	  5.4	9	 86.0	130.2	 52.0	25	1005.0	7.1	66.0	 3.0
422	1950	9	  6.2	  9.4	 14.5	1	  3.8	 -0.9	25	 82.0	 82.0	 23.0	15	 999.6	7.0	NA	 3.3
422	1950	10	  3.2	  6.1	 12.5	24	  1.0	 -4.4	12	 88.0	 66.6	 24.5	5	1002.5	6.8	NA	 3.3
422	1950	11	 -0.7	  2.9	 12.4	6	 -4.5	-12.4	17	 90.0	 30.9	  4.1	11	1004.8	5.8	NA	 3.0
422	1950	12	 -4.2	 -0.4	  7.0	17	 -7.7	-17.0	13	 87.0	 76.6	 16.9	1	1010.4	6.2	NA	 3.6
422	1951	1	 -3.5	  1.0	  8.5	24	 -7.7	-17.4	4	 89.0	 73.6	 15.8	14	 998.6	5.9	NA	 3.4
422	1951	2	 -0.9	  3.1	 10.0	28	 -4.4	-14.5	24	 86.0	 47.1	 13.9	21	 998.9	6.6	NA	 4.1
422	1951	3	 -4.9	 -0.7	 10.5	1	 -8.2	-17.2	10	 85.0	104.1	 19.8	6	1016.4	6.4	NA	 3.5
422	1951	4	 -1.9	  2.2	 12.5	30	 -5.3	-16.0	20	 83.0	 38.5	 10.8	17	1016.1	6.6	NA	 3.6
422	1951	5	  7.5	 12.5	 19.0	25	  3.5	 -2.5	8	 74.0	  9.1	  3.7	12	1019.6	5.4	NA	 3.2
422	1951	6	  8.0	 11.9	 18.8	30	  4.6	 -0.5	12	 79.0	 20.0	 11.4	12	1017.0	5.1	NA	 3.3
422	1951	7	 10.5	 14.1	 18.0	13	  7.6	  2.2	25	 76.0	 27.9	  8.1	22	1008.7	6.4	173.2	 3.6
422	1951	8	  9.4	 12.7	 16.5	15	  6.7	  0.6	12	 85.0	 53.1	 22.4	29	1006.8	6.7	76.1	 3.2
422	1951	9	  7.4	 11.1	 17.6	21	  4.9	 -0.9	7	 87.0	 65.8	 10.7	15	1005.9	6.7	62.1	 3.1
422	1951	10	  4.4	  8.7	 17.0	1	  1.1	-10.0	24	 81.0	 33.0	 10.6	21	1001.3	6.2	62.5	 3.4
422	1951	11	 -0.5	  2.1	  6.7	13	 -3.2	-14.0	25	 85.0	 23.3	  8.3	11	1007.0	6.5	 8.7	 1.8
422	1951	12	 -1.4	  2.7	 11.1	12	 -5.0	-17.2	6	 83.0	 95.7	 27.5	5	 988.0	6.2	 0.5	 4.0
422	1952	1	 -2.9	  0.2	  8.5	20	 -6.9	-17.2	28	 86.0	 81.3	 14.9	17	 997.6	6.9	 0.8	 5.4
422	1952	2	 -1.2	  3.2	  9.9	18	 -4.1	-11.4	4	 84.0	 50.1	 11.9	1	1009.4	6.3	31.3	 3.5
422	1952	3	 -0.6	  2.7	  8.4	17	 -3.4	 -9.6	1	 83.0	 29.4	  7.3	22	1011.5	6.2	85.2	 2.8
