#Mánaðarmeðaltöl fyrir stöð 448 - Lerkihlíð
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
448	1979	9	  2.1	  4.8	  9.6	30	 -0.3	 -7.5	21	NA	114.7	 24.6	16	NA	6.6	NA	 2.1
448	1979	10	  3.1	  5.6	 13.2	1	  0.1	-11.8	21	NA	 42.9	 11.5	31	NA	5.9	NA	 3.0
448	1979	11	 -2.2	 -0.2	  7.8	20	 -4.8	-15.4	9	NA	111.8	 26.1	4	NA	6.5	NA	 2.4
448	1979	12	 -3.1	 -0.2	 10.0	20	 -6.3	-16.2	7	NA	 44.9	 13.4	17	NA	5.7	NA	 2.7
448	1980	1	 -3.9	 -0.9	  8.3	12	 -7.4	-17.3	1	NA	 76.6	 16.3	22	NA	5.6	NA	 2.8
448	1980	2	 -1.7	  1.1	  8.7	23	 -5.6	-19.7	4	NA	 20.5	  8.0	1	NA	6.1	NA	 3.6
448	1980	3	 -0.9	  2.2	  7.4	19	 -4.4	-14.4	2	NA	 27.3	 10.8	22	NA	5.7	NA	 2.9
448	1980	4	  2.5	  5.9	 11.5	30	 -0.9	 -9.2	3	NA	 26.9	  5.0	1	NA	5.7	NA	 3.8
448	1980	5	  6.8	 10.8	 22.2	22	  2.7	 -7.1	7	NA	 27.0	 10.5	10	NA	4.8	NA	 2.8
448	1980	6	  9.6	 13.6	 20.0	10	  4.8	 -0.4	1	NA	 78.0	 19.4	21	NA	4.9	NA	 2.5
448	1980	7	 10.8	 14.8	 24.7	31	  6.6	  1.6	27	NA	 27.2	  6.8	25	NA	6.0	NA	 2.1
448	1980	8	  9.4	 13.6	 22.8	1	  6.0	 -0.6	22	NA	 62.3	 16.0	7	NA	5.7	NA	 2.1
448	1980	9	  5.6	  9.2	 14.8	22	  2.6	 -4.5	19	NA	 37.7	  9.0	17	NA	6.3	NA	 2.6
448	1980	10	 -1.8	  0.7	 10.4	31	 -4.8	-12.7	20	NA	 79.3	 17.0	7	NA	6.5	NA	 2.6
448	1980	11	 -1.6	  1.5	  9.9	4	 -5.3	-16.6	24	NA	 69.3	 17.0	16	NA	5.5	NA	 3.5
448	1980	12	 -5.8	 -2.4	  9.6	4	 -9.4	-21.1	19	NA	 61.6	  8.9	22	NA	6.8	NA	 3.2
