#Mánaðarmeðaltöl fyrir stöð 468 - Reykjahlíð
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
468	1961	1	 -3.8	 -0.7	  7.7	15	 -6.3	-23.0	9	NA	 17.3	  5.7	19	NA	4.9	NA	 4.6
468	1961	2	 -2.7	 -0.2	 10.5	22	 -6.3	-20.0	3	NA	 29.1	  7.8	24	NA	5.4	NA	 2.3
468	1961	3	 -3.9	 -0.3	  8.3	7	 -7.4	-22.4	30	NA	 35.0	  7.0	28	NA	4.5	NA	 5.1
468	1961	4	 -2.8	  0.8	 10.7	29	 -7.0	-25.7	4	NA	 30.8	  5.2	15	NA	5.8	NA	 4.0
468	1961	5	  6.7	 10.3	 16.2	20	  3.0	 -6.2	25	NA	 20.4	  8.6	3	NA	5.3	NA	 4.1
468	1961	6	  6.6	 10.6	 14.9	21	  2.7	  0.0	7	NA	 55.6	 20.7	18	NA	5.9	NA	 4.0
468	1961	7	  9.7	 13.4	 20.4	19	  6.3	  1.8	4	NA	 43.1	  8.3	31	NA	6.8	NA	 2.7
468	1961	8	  8.8	 11.6	 15.3	12	  5.9	  1.5	25	NA	 61.2	 17.5	1	NA	6.6	NA	 3.1
468	1961	9	  7.3	 10.6	 16.6	9	  3.9	  0.0	24	NA	 75.4	 27.4	5	NA	5.8	NA	 4.1
468	1961	10	  3.1	  5.5	 11.6	2	  0.2	 -7.0	31	NA	 59.1	 21.3	26	NA	6.1	NA	 3.2
468	1961	11	 -1.3	  1.7	  8.5	14	 -4.9	-16.2	28	NA	 59.1	 11.2	30	NA	5.9	NA	 6.4
468	1961	12	 -6.6	 -3.4	  6.2	19	 -9.8	-20.4	31	NA	 58.1	  6.4	28	NA	6.2	NA	 3.1
468	1962	1	 -3.1	 -0.6	  6.7	29	 -6.8	-18.7	24	NA	 45.9	  8.0	9	NA	6.5	NA	 5.6
468	1962	2	 -4.2	 -0.5	  7.0	8	 -8.8	-19.0	6	NA	 23.4	  5.7	16	NA	5.4	NA	 2.5
468	1962	3	 -8.0	 -3.6	  8.2	18	-11.7	-28.0	15	NA	 33.5	  5.4	31	NA	5.1	NA	 2.3
468	1962	4	  1.5	  4.8	 15.7	28	 -2.1	-16.2	2	NA	 20.4	  5.4	6	NA	5.3	NA	 3.6
468	1962	5	  4.2	  7.8	 15.8	26	  0.8	 -6.2	30	NA	  5.2	  2.9	4	NA	5.9	NA	 4.5
468	1962	6	  7.4	 11.3	 20.4	29	  4.1	 -0.4	25	NA	 37.3	  6.1	17	NA	6.1	NA	 5.0
468	1962	7	 10.4	 14.7	 19.4	5	  6.5	  1.8	7	NA	 60.4	 30.7	31	NA	5.5	NA	 2.2
468	1962	8	  7.7	 10.7	 18.8	16	  4.9	 -0.4	13	NA	 44.4	  8.7	26	NA	7.1	NA	 1.4
468	1962	9	  5.1	  8.5	 12.8	20	  1.7	 -6.0	17	NA	 46.6	 13.2	29	NA	5.5	NA	 4.6
468	1962	10	  2.1	  4.7	 14.0	19	 -0.5	-11.4	31	NA	 36.7	  7.4	5	NA	6.1	NA	 4.6
468	1962	11	 -2.9	  0.4	  9.3	10	 -6.4	-18.9	16	NA	 25.1	  8.0	4	NA	5.4	NA	 3.0
468	1962	12	 -3.6	 -0.2	  8.3	22	 -7.2	-16.6	16	NA	 31.5	  9.3	6	NA	5.0	NA	 4.0
468	1963	1	 -6.9	 -3.7	  5.8	26	-10.6	-25.0	5	NA	  4.0	  2.8	24	NA	4.2	NA	 3.4
468	1963	2	 -3.7	 -0.6	  7.0	27	 -7.5	-17.7	5	NA	 22.4	  6.2	15	NA	5.8	NA	 3.3
468	1963	3	  1.2	  3.4	  7.8	2	 -1.5	 -7.4	8	NA	 22.7	  3.0	24	NA	5.4	NA	 3.6
468	1963	4	  0.2	  3.4	 10.6	25	 -3.4	-17.2	11	NA	 51.6	  8.1	12	NA	6.3	NA	 4.0
468	1963	5	  2.6	  5.7	 14.2	24	 -0.5	 -8.3	2	NA	 46.6	 17.4	9	NA	6.3	NA	 4.5
468	1963	6	 11.0	 15.9	 24.0	30	  6.6	  2.2	2	NA	 39.4	 10.6	18	NA	4.9	NA	 2.4
468	1963	7	  8.3	 13.4	 23.3	4	  5.0	 -1.4	20	NA	 28.5	  4.4	16	NA	5.6	NA	 3.2
468	1963	8	  7.7	 12.6	 17.9	1	  3.6	 -1.8	31	NA	  7.5	  2.9	14	NA	5.1	NA	 2.4
468	1963	9	  3.7	  6.8	 14.4	3	  0.7	 -9.2	29	NA	 84.1	 20.4	9	NA	5.7	NA	 3.6
468	1963	10	  2.3	  5.0	 11.6	27	 -0.8	 -7.0	1	NA	 18.9	 11.6	16	NA	5.0	NA	 4.4
468	1963	11	 -5.0	 -1.9	  8.6	29	 -8.6	-22.4	24	NA	 52.1	 10.1	11	NA	6.6	NA	 2.9
468	1963	12	 -2.4	  0.3	  5.6	22	 -5.7	-21.0	20	NA	 20.5	  4.0	2	NA	5.6	NA	 2.3
468	1964	1	 -0.9	  2.1	  8.4	7	 -4.3	-20.2	31	NA	 16.9	  4.3	26	NA	5.1	NA	 4.6
468	1964	2	 -0.4	  2.1	  6.7	26	 -3.5	-20.2	5	NA	  6.8	  3.8	4	NA	3.8	NA	 3.2
468	1964	3	  3.0	  6.1	 10.8	27	 -0.4	-10.0	2	NA	 13.4	  5.4	25	NA	4.7	NA	 4.6
468	1964	4	  1.2	  4.6	 12.8	27	 -2.1	 -7.4	19	NA	 14.4	  3.4	11	NA	5.6	NA	 3.8
468	1964	5	  5.3	  9.0	 17.7	19	  2.2	 -5.0	14	NA	 32.7	  8.6	2	NA	5.7	NA	 4.0
468	1964	6	  7.6	 11.8	 21.5	19	  3.7	 -2.2	18	NA	 24.6	  7.0	29	NA	5.0	NA	 4.0
468	1964	7	  9.9	 14.2	 22.0	21	  6.3	  0.0	10	NA	 43.0	 13.3	11	NA	5.5	NA	 2.8
468	1964	8	  6.9	 10.3	 20.0	9	  3.6	 -1.4	15	NA	 79.9	 14.4	23	NA	5.9	NA	 2.1
468	1964	9	  3.3	  6.4	 14.1	1	  0.5	 -5.7	8	NA	 31.2	  7.4	3	NA	5.8	NA	 2.2
468	1964	10	  2.4	  5.2	 12.9	3	 -0.6	-11.6	23	NA	 24.1	  8.4	9	NA	5.4	NA	 2.6
468	1964	11	 -1.2	  1.3	 10.2	2	 -4.5	-18.3	18	NA	 42.9	  8.4	17	NA	6.3	NA	 3.3
468	1964	12	 -6.0	 -3.0	  4.9	19	 -9.7	-18.8	13	NA	 52.0	 11.7	11	NA	6.2	NA	 3.8
468	1965	1	 -5.0	 -2.4	  4.0	27	 -8.3	-19.4	19	NA	 55.0	 13.1	24	NA	6.5	NA	 3.6
468	1965	2	 -0.8	  2.4	  8.1	18	 -3.8	-12.5	13	NA	 11.8	  8.4	13	NA	3.8	NA	 4.8
468	1965	3	 -7.4	 -2.2	 10.9	31	-13.0	-26.6	25	NA	  1.7	  1.4	28	NA	4.6	NA	 2.0
