Mánaðarmeðaltöl fyrir stöð 473 - Staðarhóll
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
473	1961	11	  0.2	  4.2	 13.4	14	 -4.0	-13.3	28	NA	126.4	 32.3	24	NA	6.4	NA	 3.2
473	1961	12	 -4.4	 -1.5	  7.7	17	 -8.0	-17.2	7	NA	 95.4	 17.4	4	NA	6.7	NA	 2.4
473	1962	1	 -1.1	  1.9	  9.6	28	 -4.6	-18.5	19	NA	 54.7	 15.1	11	NA	6.0	NA	 4.5
473	1962	2	 -2.5	  1.5	  9.5	23	 -6.7	-18.2	6	NA	 36.1	 13.2	16	NA	5.7	NA	 4.6
473	1962	3	 -6.3	 -2.7	  6.6	20	-10.0	-25.2	15	NA	 52.2	 10.7	31	NA	6.1	NA	 2.7
473	1962	4	  1.9	  6.4	 16.5	28	 -2.1	-17.8	2	NA	 31.1	 13.3	6	NA	5.9	NA	 3.2
473	1962	5	  5.1	  9.6	 18.6	26	  1.0	 -3.7	6	NA	 18.6	  9.6	4	NA	6.3	NA	 3.2
473	1962	6	  8.1	 12.1	 22.0	28	  4.3	 -1.6	25	NA	 39.7	  8.8	17	NA	6.8	NA	 3.3
473	1962	7	 10.0	 14.9	 21.0	26	  5.1	 -0.1	20	NA	 26.8	  8.1	31	NA	5.8	NA	 2.3
473	1962	8	  7.8	 11.3	 17.5	15	  5.3	 -2.0	13	NA	 38.0	  6.0	1	NA	7.3	NA	 2.4
473	1962	9	  5.6	 11.0	 15.1	21	  1.6	 -7.2	25	NA	 57.9	  9.9	29	NA	5.8	NA	 3.3
473	1962	10	  3.1	  7.0	 16.4	19	  0.0	-12.6	31	NA	 50.9	 13.4	30	NA	6.7	NA	 2.6
473	1962	11	 -1.6	  1.9	 10.5	10	 -5.7	-20.1	16	NA	 29.8	  5.6	14	NA	6.1	NA	 2.5
473	1962	12	 -2.7	  1.3	  9.7	22	 -6.5	-16.1	15	NA	 55.1	 18.6	9	NA	5.3	NA	 2.8
473	1963	1	 -5.2	 -1.4	  8.6	18	 -9.4	-21.2	5	NA	  7.0	  2.8	15	NA	4.3	NA	 2.3
473	1963	2	 -3.4	  0.8	  7.9	2	 -7.7	-20.1	6	NA	 34.7	 10.4	27	NA	5.7	NA	 2.2
473	1963	3	  1.2	  5.0	  9.3	3	 -1.4	 -7.9	13	NA	 19.9	  5.4	18	NA	5.9	NA	 2.1
473	1963	4	  0.5	  4.8	 14.3	5	 -2.5	-15.3	11	NA	 83.2	 31.9	12	NA	6.9	NA	 3.2
473	1963	5	  3.3	  7.7	 15.9	24	  0.2	 -9.3	2	NA	 44.2	 15.3	9	NA	6.5	NA	 3.3
473	1963	6	 10.1	 14.5	 22.1	3	  5.5	 -1.0	2	NA	 49.2	 16.0	17	NA	5.7	NA	 2.3
473	1963	7	  8.1	 12.6	 18.9	30	  4.6	 -0.2	26	NA	 47.9	  9.1	24	NA	6.3	NA	 3.3
473	1963	8	  7.0	 12.6	 19.8	4	  2.7	 -3.2	29	NA	 10.5	  4.5	14	NA	6.2	NA	 2.2
473	1963	9	  3.7	  8.1	 14.8	1	  0.7	 -9.0	29	NA	105.3	 43.1	9	NA	6.3	NA	 2.7
473	1963	10	  2.3	  6.9	 11.9	28	 -1.0	 -8.1	1	NA	 24.3	  7.6	16	NA	6.1	NA	 2.4
473	1963	11	 -3.9	 -0.6	  9.1	29	 -7.7	-17.4	16	NA	 85.5	 23.6	21	NA	6.6	NA	 2.4
473	1963	12	 -1.5	  1.8	  7.3	8	 -5.5	-16.0	20	NA	 26.3	 10.8	26	NA	5.6	NA	 1.7
473	1964	1	  0.2	  4.2	 10.7	22	 -3.0	-16.0	31	NA	 18.2	  4.9	23	NA	4.8	NA	 2.9
473	1964	2	  0.1	  4.2	 10.7	7	 -3.5	-16.2	5	NA	 10.3	  3.1	25	NA	4.8	NA	 1.7
473	1964	3	  3.5	  8.2	 12.4	28	 -0.1	 -7.6	2	NA	 21.9	  6.7	24	NA	4.8	NA	 2.3
473	1964	4	  1.9	  6.5	 12.8	27	 -2.1	 -9.2	19	NA	 31.1	  8.7	11	NA	5.5	NA	 2.0
473	1964	5	  5.8	 10.2	 18.8	23	  2.0	 -4.6	30	NA	 43.3	  7.3	20	NA	6.3	NA	 2.0
473	1964	6	  8.4	 12.9	 22.2	20	  3.8	 -2.1	18	NA	 21.2	  5.0	15	NA	5.8	NA	 2.2
473	1964	7	 10.0	 14.7	 22.8	21	  5.9	 -1.1	3	NA	 47.3	  8.0	9	NA	6.2	NA	 1.8
473	1964	8	  7.0	 11.3	 20.8	9	  3.6	 -3.6	15	NA	107.0	 21.8	21	NA	6.9	NA	 2.5
473	1964	9	  3.6	  7.8	 17.7	1	  0.7	 -7.5	8	NA	 81.5	 27.0	17	NA	6.5	NA	 1.7
473	1964	10	  2.7	  6.7	 14.7	3	 -0.9	-12.7	24	NA	 70.9	 17.6	11	NA	5.7	NA	 2.0
473	1964	11	 -0.6	  2.9	 12.3	2	 -4.6	-16.6	17	NA	 66.4	 14.6	28	NA	6.3	NA	 2.5
473	1964	12	 -3.2	  0.4	 10.5	20	 -7.2	-15.1	13	NA	 67.5	 21.6	31	NA	5.8	NA	 3.5
473	1965	1	 -3.4	  0.1	  7.6	6	 -6.7	-22.6	19	NA	127.5	 27.9	9	NA	6.7	NA	 4.0
473	1965	2	  1.0	  5.5	 11.3	16	 -1.9	-12.5	13	NA	 33.2	 24.5	13	NA	4.7	NA	 3.5
473	1965	3	 -5.9	 -0.6	 10.5	31	 -9.9	-21.6	25	NA	 18.5	  7.0	3	NA	5.0	NA	 2.3
473	1965	4	  0.4	  5.3	 14.2	30	 -3.6	-11.6	20	NA	 32.5	 12.2	15	NA	5.9	NA	 2.3
473	1965	5	  3.9	  9.5	 20.0	30	 -0.2	 -6.6	19	NA	 18.0	  8.9	22	NA	5.7	NA	 2.1
473	1965	6	  8.0	 12.2	 20.9	11	  3.1	 -1.6	22	NA	 24.2	  7.7	24	NA	5.9	NA	 2.5
473	1965	7	  9.4	 14.6	 20.9	19	  4.7	 -2.8	27	NA	 24.3	  6.0	31	NA	6.0	NA	 2.4
473	1965	8	  8.7	 13.1	 20.4	14	  5.1	 -0.6	6	NA	 28.1	  5.3	18	NA	6.7	NA	 2.6
473	1965	9	  3.9	  7.2	 17.5	1	  1.1	 -4.5	14	NA	 63.9	 11.3	13	NA	7.3	NA	 2.3
473	1965	10	  5.2	  9.4	 16.5	20	  1.5	-11.2	30	NA	 60.8	 17.1	15	NA	6.3	NA	 2.9
473	1965	11	 -2.8	  0.5	 13.9	4	 -6.2	-17.9	23	NA	 61.6	 10.4	24	NA	5.9	NA	 2.3
473	1965	12	 -5.8	 -2.5	  7.7	15	-10.9	-25.1	27	NA	 58.5	 11.9	6	NA	5.7	NA	 1.9
473	1966	1	 -4.9	 -1.5	  7.2	6	 -8.4	-21.1	21	NA	 52.4	 13.0	29	NA	5.5	NA	 3.5
473	1966	2	 -7.8	 -4.1	  1.2	4	-11.1	-19.7	25	NA	 40.4	  8.1	3	NA	5.4	NA	 2.2
473	1966	3	 -4.9	 -0.7	  7.3	19	 -8.6	-18.2	25	NA	113.7	 23.1	11	NA	6.3	NA	 3.8
473	1966	4	 -0.1	  4.0	  6.9	8	 -3.7	-20.5	2	NA	 32.2	 14.5	1	NA	5.1	NA	 2.3
473	1966	5	  3.4	  7.0	 15.6	28	  0.4	 -9.4	9	NA	 28.1	  4.9	12	NA	6.8	NA	 2.6
473	1966	6	 10.0	 14.4	 20.9	12	  5.7	  0.5	11	NA	 21.5	  8.5	19	NA	6.4	NA	 2.6
473	1966	7	  9.3	 13.4	 24.5	7	  7.1	  2.5	25	NA	 68.9	 31.0	24	NA	6.8	NA	 3.7
473	1966	8	  7.8	 12.3	 19.7	27	  3.9	 -2.5	12	NA	 40.4	 19.0	4	NA	6.2	NA	 2.5
473	1966	9	  5.6	  9.7	 17.1	23	  2.0	 -4.9	9	NA	 21.7	  6.2	3	NA	6.3	NA	 2.9
473	1966	10	  0.2	  3.9	 11.1	30	 -2.6	-11.7	6	NA	 43.1	  6.7	3	NA	6.1	NA	 1.9
473	1966	11	 -1.8	  2.2	 10.3	18	 -6.8	-13.6	5	NA	123.7	 34.3	28	NA	6.2	NA	 3.9
473	1966	12	 -4.2	 -1.0	  5.6	5	 -8.1	-16.4	25	NA	132.9	 29.8	31	NA	6.7	NA	 3.6
473	1967	1	 -2.2	  2.2	 13.0	9	 -6.3	-17.0	3	NA	 21.1	 12.5	1	NA	4.9	NA	 3.0
473	1967	2	  0.2	  3.2	  8.8	10	 -2.8	-17.5	27	NA	 44.3	 13.0	26	NA	5.9	NA	 5.0
473	1967	3	 -7.7	 -3.3	  6.2	18	-11.9	-23.2	13	NA	120.3	 14.9	23	NA	6.5	NA	 4.2
473	1967	4	 -0.1	  4.1	 11.0	27	 -3.8	-19.0	22	NA	 18.3	  4.9	17	NA	5.7	NA	 4.6
473	1967	5	  1.9	  6.5	 16.2	30	 -1.9	-10.6	1	NA	 24.4	  8.2	27	NA	5.7	NA	 2.5
473	1967	6	  8.3	 13.1	 18.8	17	  3.9	 -2.0	23	NA	 42.1	 13.2	29	NA	6.2	NA	 3.0
473	1967	7	  7.0	 11.1	 19.2	13	  3.7	 -0.7	25	NA	 77.0	 21.4	28	NA	6.7	NA	 3.7
473	1967	8	  8.7	 13.7	 17.6	13	  4.7	 -2.7	3	NA	 17.9	  4.4	8	NA	5.9	NA	 2.8
473	1967	9	  6.8	 12.8	 19.6	11	  3.0	 -5.4	6	NA	 27.1	  8.4	15	NA	5.5	NA	 2.6
473	1967	10	  0.4	  3.2	 11.8	1	 -2.4	-12.3	20	NA	124.5	 40.6	2	NA	7.0	NA	 2.7
473	1967	11	 -2.2	  1.7	 10.0	18	 -6.8	-19.1	29	NA	 44.0	 10.6	12	NA	5.7	NA	 3.7
473	1967	12	 -3.2	  0.1	  9.4	12	 -7.0	-13.4	28	NA	156.7	 19.0	5	NA	6.3	NA	 3.6
473	1968	1	 -5.1	 -1.2	  6.5	22	 -8.9	-17.5	7	NA	109.3	 21.0	27	NA	6.4	NA	 3.7
473	1968	2	 -5.5	 -0.7	 10.2	28	-11.0	-23.1	15	NA	 46.7	 13.9	7	NA	5.7	NA	 3.9
473	1968	3	 -4.7	 -0.6	 11.0	6	 -8.4	-21.7	25	NA	 72.3	  9.3	17	NA	6.7	NA	 3.6
473	1968	4	 -1.6	  4.1	 12.8	22	 -5.2	-20.1	1	NA	 43.0	 10.0	1	NA	5.3	NA	 2.4
473	1968	5	  2.3	  7.1	 17.0	27	 -3.0	-14.5	1	NA	 27.6	 12.6	12	NA	4.1	NA	 2.3
473	1968	6	  6.8	 11.4	 18.2	11	  3.5	 -0.7	28	NA	 48.8	 14.5	5	NA	6.8	NA	 3.6
473	1968	7	 10.3	 15.8	 22.3	19	  5.4	 -1.5	12	NA	 27.6	  6.8	2	NA	5.1	NA	 2.0
