#Mánaðarmeðaltöl fyrir stöð 479 - Mánárbakki
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
479	1956	8	  6.8	NA	NA	NA	NA	NA	NA	NA	 35.0	  9.3	13	NA	6.1	NA	 2.6
479	1956	9	  7.4	NA	NA	NA	NA	NA	NA	NA	 71.9	 34.1	21	NA	6.7	NA	 3.7
479	1956	10	  4.0	NA	NA	NA	NA	NA	NA	NA	 39.2	 11.8	18	NA	6.4	NA	 5.4
479	1956	11	  4.2	NA	NA	NA	NA	NA	NA	NA	 31.0	 10.6	26	NA	6.2	NA	 6.2
479	1956	12	  1.0	NA	NA	NA	NA	NA	NA	NA	 27.3	  3.6	7	NA	6.0	NA	 7.5
479	1957	1	  1.1	NA	NA	NA	NA	NA	NA	NA	 27.8	  6.2	21	NA	6.2	NA	 7.2
479	1957	2	 -2.5	NA	NA	NA	NA	NA	NA	NA	 33.7	  6.1	7	NA	7.3	NA	 6.9
479	1957	3	 -0.8	NA	NA	NA	NA	NA	NA	NA	 20.7	  4.6	5	NA	6.4	NA	 6.4
479	1957	4	  3.4	NA	NA	NA	NA	NA	NA	NA	 33.0	  7.5	3	NA	5.5	NA	 3.8
479	1957	5	  4.4	NA	NA	NA	NA	NA	NA	NA	 24.4	  5.6	2	NA	6.9	NA	 4.5
479	1957	6	  7.3	NA	NA	NA	NA	NA	NA	NA	  7.2	  2.9	30	NA	5.3	NA	 3.2
479	1957	7	  8.7	NA	NA	NA	NA	NA	NA	NA	 35.1	 13.5	30	NA	5.5	NA	 3.6
479	1957	8	  9.7	NA	NA	NA	NA	NA	NA	NA	 51.2	 16.8	18	NA	6.2	NA	 2.8
479	1957	9	  6.0	NA	NA	NA	NA	NA	NA	NA	 62.9	 10.5	6	NA	6.9	NA	 4.7
479	1957	10	  3.1	NA	NA	NA	NA	NA	NA	NA	 54.9	 15.0	27	NA	6.0	NA	 5.1
479	1957	11	  2.0	NA	NA	NA	NA	NA	NA	NA	 47.1	 20.7	25	NA	5.7	NA	 4.4
479	1957	12	 -1.2	NA	NA	NA	NA	NA	NA	NA	 47.2	  7.6	4	NA	5.9	NA	 5.3
479	1958	1	 -2.4	NA	NA	NA	NA	NA	NA	NA	 27.2	 12.0	28	NA	5.8	NA	 7.2
479	1958	2	 -4.1	NA	NA	NA	NA	NA	NA	NA	 28.0	  6.2	6	NA	6.1	NA	 4.7
479	1958	3	 -1.3	NA	NA	NA	NA	NA	NA	NA	 16.4	  3.6	12	NA	5.6	NA	 5.1
479	1958	4	  2.2	NA	NA	NA	NA	NA	NA	NA	 33.5	  5.6	20	NA	6.2	NA	 3.1
479	1958	5	  1.7	NA	NA	NA	NA	NA	NA	NA	  9.2	  2.5	15	NA	5.3	NA	 3.1
479	1958	6	  7.2	NA	NA	NA	NA	NA	NA	NA	 18.5	  5.7	30	NA	4.9	NA	 2.5
479	1958	7	  7.6	NA	NA	NA	NA	NA	NA	NA	 26.6	 15.1	26	NA	6.4	NA	 2.0
479	1958	8	  6.4	NA	NA	NA	NA	NA	NA	NA	134.3	 30.3	22	NA	7.6	NA	 3.4
479	1958	9	 10.0	NA	NA	NA	NA	NA	NA	NA	  9.6	  5.4	7	NA	6.0	NA	 2.6
479	1958	10	  5.0	NA	NA	NA	NA	NA	NA	NA	 78.1	 12.1	6	NA	6.6	NA	 4.2
479	1958	11	  3.2	NA	NA	NA	NA	NA	NA	NA	 57.0	 11.2	2	NA	5.9	NA	 4.8
479	1958	12	 -0.8	NA	NA	NA	NA	NA	NA	NA	 33.1	  4.6	9	NA	6.8	NA	 6.4
479	1959	1	 -3.9	NA	NA	NA	NA	NA	NA	NA	 19.4	  3.3	7	NA	6.7	NA	 6.1
479	1959	2	  1.1	NA	NA	NA	NA	NA	NA	NA	 54.5	 12.5	6	NA	6.3	NA	 6.6
479	1959	3	  2.6	NA	NA	NA	NA	NA	NA	NA	 20.1	 10.7	28	NA	5.4	NA	 3.8
479	1959	4	 -0.7	NA	NA	NA	NA	NA	NA	NA	 18.6	  4.4	9	NA	6.5	NA	 4.2
479	1959	5	  5.7	NA	NA	NA	NA	NA	NA	NA	  8.2	  2.2	1	NA	5.8	NA	 3.3
479	1959	6	  7.2	NA	NA	NA	NA	NA	NA	NA	 77.2	 17.3	9	NA	5.8	NA	 5.2
479	1959	7	  9.5	NA	NA	NA	NA	NA	NA	NA	 15.6	  5.5	23	NA	6.0	NA	 2.1
479	1959	8	  7.9	NA	NA	NA	NA	NA	NA	NA	101.6	 29.8	15	NA	7.4	NA	 3.3
479	1959	9	  8.7	NA	NA	NA	NA	NA	NA	NA	 33.0	 13.3	28	NA	5.9	NA	 3.4
479	1959	10	  6.9	NA	NA	NA	NA	NA	NA	NA	 64.6	 12.0	14	NA	5.6	NA	 3.7
479	1959	11	  0.8	NA	NA	NA	NA	NA	NA	NA	 65.0	  8.8	9	NA	6.8	NA	 6.7
479	1959	12	 -0.0	NA	NA	NA	NA	NA	NA	NA	 36.9	  8.7	30	NA	5.9	NA	 4.8
479	1960	1	 -0.1	NA	NA	NA	NA	NA	NA	NA	 11.8	  3.5	20	NA	5.3	NA	 3.9
479	1960	2	 -1.8	NA	NA	NA	NA	NA	NA	NA	 20.9	  6.8	3	NA	6.7	NA	 7.6
479	1960	3	  1.4	NA	NA	NA	NA	NA	NA	NA	 32.2	 10.2	28	NA	4.9	NA	 4.7
479	1960	4	  2.2	NA	NA	NA	NA	NA	NA	NA	 30.5	  5.3	25	NA	5.6	NA	 4.3
479	1960	5	  6.5	NA	NA	NA	NA	NA	NA	NA	 30.6	 13.6	20	NA	5.6	NA	 3.5
479	1960	6	  8.9	NA	NA	NA	NA	NA	NA	NA	 14.2	  4.5	8	NA	6.1	NA	 2.8
479	1960	7	  9.3	NA	NA	NA	NA	NA	NA	NA	 68.7	 10.6	28	NA	6.7	NA	 2.6
479	1960	8	  8.1	NA	NA	NA	NA	NA	NA	NA	 28.9	  8.0	6	NA	6.3	NA	 2.6
479	1960	9	  7.8	NA	NA	NA	NA	NA	NA	NA	 16.1	  3.9	6	NA	5.6	NA	 3.0
479	1960	10	  3.3	NA	NA	NA	NA	NA	NA	NA	 16.4	  7.3	28	NA	5.6	NA	 2.1
479	1960	11	  3.1	NA	NA	NA	NA	NA	NA	NA	 37.9	  6.0	20	NA	7.0	NA	 4.9
479	1960	12	 -0.3	NA	NA	NA	NA	NA	NA	NA	 26.5	  6.4	26	NA	5.8	NA	 6.8
479	1961	1	  0.5	NA	NA	NA	NA	NA	NA	NA	 32.5	 15.2	12	NA	5.1	NA	 5.1
479	1961	2	 -0.4	NA	NA	NA	NA	NA	NA	NA	 43.2	 15.7	24	NA	6.0	NA	 4.7
479	1961	3	 -1.2	NA	NA	NA	NA	NA	NA	NA	 24.1	  6.3	11	NA	6.3	NA	 6.4
479	1961	4	 -1.1	NA	NA	NA	NA	NA	NA	NA	 25.1	  9.9	21	NA	7.2	NA	 5.0
479	1961	5	  6.3	NA	NA	NA	NA	NA	NA	NA	 33.3	  5.5	3	NA	6.3	NA	 3.1
479	1961	6	  6.4	NA	NA	NA	NA	NA	NA	NA	108.5	 20.4	30	NA	5.6	NA	 3.9
479	1961	7	  8.8	NA	NA	NA	NA	NA	NA	NA	 36.7	 14.6	31	NA	6.4	NA	 2.6
479	1961	8	  9.2	NA	NA	NA	NA	NA	NA	NA	 72.4	 19.2	27	NA	6.5	NA	 2.9
479	1961	9	  7.9	NA	NA	NA	NA	NA	NA	NA	 54.6	 12.3	5	NA	6.1	NA	 5.4
479	1961	10	  5.2	NA	NA	NA	NA	NA	NA	NA	 64.5	 14.4	8	NA	6.7	NA	 5.0
479	1961	11	  2.0	NA	NA	NA	NA	NA	NA	NA	 60.6	 11.6	9	NA	6.6	NA	 7.1
479	1961	12	 -2.0	NA	NA	NA	NA	NA	NA	NA	 40.9	  8.1	12	NA	6.7	NA	 4.8
479	1962	1	  0.5	NA	NA	NA	 -2.0	 -9.6	19	NA	 51.1	 13.4	9	NA	6.2	NA	 6.3
479	1962	2	 -0.8	NA	NA	NA	 -4.4	 -9.9	13	NA	 12.3	  3.1	6	NA	5.4	NA	 6.8
479	1962	3	 -3.3	NA	NA	NA	 -5.7	-14.4	15	NA	 16.0	  3.9	12	NA	6.6	NA	 5.1
479	1962	4	  2.9	NA	NA	NA	 -0.2	 -9.8	2	NA	 11.7	  4.5	10	NA	6.2	NA	 4.1
479	1962	5	  4.5	NA	NA	NA	  2.2	 -2.4	6	NA	 12.0	  3.4	18	NA	6.1	NA	 3.4
479	1962	6	  7.0	NA	NA	NA	  4.8	  2.0	19	NA	 51.0	 14.5	16	NA	6.7	NA	 4.2
479	1962	7	  9.4	NA	NA	NA	  6.7	  3.1	1	NA	 17.9	  8.0	31	NA	5.7	NA	 2.6
479	1962	8	  7.5	NA	NA	NA	  6.2	  2.0	13	NA	 72.6	 16.3	26	NA	7.4	NA	 3.1
479	1962	9	  6.5	NA	NA	NA	  3.5	 -1.0	25	NA	 54.8	 15.7	26	NA	5.9	NA	 4.7
479	1962	10	  3.7	  6.7	 16.3	20	  1.5	 -8.2	29	NA	 35.5	  4.9	5	NA	7.0	NA	 4.7
479	1962	11	  0.9	  3.5	 11.2	10	 -2.0	-12.4	17	NA	 20.5	  4.0	6	NA	6.4	NA	 4.5
479	1962	12	 -0.5	  2.5	 11.2	22	 -3.4	-10.2	17	NA	 27.9	  8.2	20	NA	6.1	NA	 5.9
479	1963	1	 -1.8	  1.4	 10.0	28	 -5.6	-15.0	5	NA	 16.3	  9.1	29	NA	5.1	NA	 3.4
479	1963	2	 -1.2	  1.7	  8.1	28	 -4.0	-12.7	5	NA	 27.1	 14.0	27	NA	6.4	NA	 4.9
479	1963	3	  1.8	  4.4	 10.1	3	 -0.2	 -6.0	22	NA	 45.7	 15.8	18	NA	5.5	NA	 3.0
479	1963	4	  0.9	  4.1	 13.6	6	 -1.6	-13.4	11	NA	 37.2	  7.3	7	NA	6.8	NA	 5.2
479	1963	5	  2.9	  6.1	 15.4	30	  0.8	 -7.9	2	NA	108.1	 21.9	17	NA	6.7	NA	 4.7
479	1963	6	  8.6	 12.3	 21.7	3	  6.2	  3.1	1	NA	 26.9	  9.1	21	NA	5.6	NA	 1.8
479	1963	7	  7.3	 10.9	 19.9	30	  5.5	  2.2	25	NA	 89.0	 31.9	24	NA	7.0	NA	 3.7
479	1963	8	  6.9	 10.0	 20.3	4	  4.4	 -0.3	31	NA	 20.2	  6.9	13	NA	6.0	NA	 3.0
479	1963	9	  4.5	  7.6	 12.3	19	  2.3	 -2.5	29	NA	168.4	 65.2	9	NA	6.0	NA	 4.2
479	1963	10	  3.2	  6.4	 12.5	28	  0.8	 -4.2	12	NA	 44.7	 10.5	16	NA	5.9	NA	 4.0
479	1963	11	 -1.3	  0.7	  9.9	29	 -4.4	-12.2	23	NA	 31.0	  9.1	21	NA	7.0	NA	 6.3
479	1963	12	 -0.1	  2.5	  8.1	22	 -2.8	 -9.7	21	NA	 17.2	  4.8	26	NA	6.2	NA	 3.6
479	1964	1	  1.4	  4.8	 10.6	7	 -1.7	-13.9	31	NA	 13.4	  3.2	29	NA	4.9	NA	 5.6
479	1964	2	  1.5	  4.5	 10.5	8	 -1.4	-12.7	4	NA	 11.2	  3.3	4	NA	4.8	NA	 3.3
479	1964	3	  4.0	  8.0	 13.4	28	  1.3	 -4.3	25	NA	 24.7	 10.7	24	NA	5.0	NA	 3.1
479	1964	4	  1.9	  5.2	 10.1	2	 -0.4	 -4.6	18	NA	 56.8	 17.5	29	NA	5.8	NA	 3.5
479	1964	5	  5.2	  8.0	 18.6	23	  2.8	 -2.7	14	NA	 44.6	 12.9	8	NA	6.7	NA	 3.8
479	1964	6	  7.6	 10.7	 18.7	20	  4.9	  1.0	1	NA	 27.3	 12.5	28	NA	5.5	NA	 4.4
479	1964	7	  9.5	 12.9	 20.8	22	  7.1	  1.0	10	NA	 29.5	  5.3	27	NA	6.1	NA	 2.6
479	1964	8	  7.1	  9.7	 18.2	9	  4.8	  2.0	15	NA	152.0	 39.6	21	NA	6.9	NA	 4.4
479	1964	9	  4.5	  6.8	 17.8	1	  2.6	 -2.4	21	NA	 30.5	  6.7	22	NA	6.6	NA	 3.0
479	1964	10	  3.8	  7.3	 15.3	21	  0.9	 -6.8	24	NA	 74.8	 31.2	9	NA	5.8	NA	 3.0
479	1964	11	  0.8	  3.4	 13.0	2	 -2.3	-11.2	18	NA	 69.2	 16.5	20	NA	6.8	NA	 5.8
479	1964	12	 -1.8	  0.9	 10.7	21	 -5.0	-10.5	25	NA	 38.9	  8.1	2	NA	6.2	NA	 7.0
