#Mánaðarmeðaltöl fyrir stöð 495 - Grímsstaðir
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
495	1949	1	 -7.0	 -3.5	  4.2	9	NA	NA	NA	NA	 13.5	  2.5	6	NA	6.1	NA	 9.7
495	1949	2	 -4.2	 -1.0	  5.2	1	NA	NA	NA	NA	  6.8	  3.0	7	NA	5.8	NA	 8.6
495	1949	3	 -4.0	 -0.4	  6.2	4	NA	NA	NA	NA	  9.2	  1.9	18	NA	5.7	NA	 6.4
495	1949	4	 -5.4	 -1.4	  4.2	18	NA	NA	NA	NA	 10.9	  2.3	6	NA	6.4	NA	 6.9
495	1949	5	 -1.5	  1.4	  8.2	9	NA	NA	NA	NA	 22.4	  4.1	27	NA	7.3	NA	 6.3
495	1949	6	  8.2	 12.2	 23.2	22	NA	NA	NA	NA	  9.3	  3.0	12	NA	5.6	NA	 3.8
495	1949	7	 10.7	 16.0	 22.3	8	NA	NA	NA	NA	 25.1	  6.9	28	NA	5.5	NA	 3.6
495	1949	8	  6.8	 11.0	 16.5	12	NA	NA	NA	NA	 82.8	 19.6	29	NA	7.0	NA	 3.8
495	1949	9	  7.0	 11.8	 17.8	12	  3.2	 -2.0	9	NA	 40.3	 10.2	29	1022.4	5.9	NA	 4.3
495	1949	10	  0.0	  3.2	 10.2	12	 -2.3	-15.0	25	NA	 27.8	  9.4	2	1018.6	6.6	NA	 3.1
495	1949	11	 -1.6	  0.6	  5.2	15	 -3.6	-14.4	14	NA	 14.7	  2.9	6	1014.3	6.8	NA	 4.3
495	1949	12	 -6.2	 -3.5	  3.2	31	 -9.4	-26.0	21	NA	 39.9	 12.6	15	1013.3	6.6	NA	 5.2
495	1950	1	 -1.1	  0.7	  4.5	19	 -3.6	-12.0	7	NA	 15.4	  4.0	16	 954.8	6.5	NA	 8.3
495	1950	2	 -6.3	 -3.7	  2.2	3	 -9.6	-22.0	24	NA	 25.7	  4.1	4	 948.3	6.5	NA	 6.1
495	1950	3	 -3.8	 -0.8	  4.4	30	 -7.8	-17.0	15	NA	 20.9	  2.4	16	 958.5	6.5	NA	 5.0
495	1950	4	 -3.9	 -0.6	  2.7	7	 -7.1	-12.0	24	NA	 25.3	  3.6	28	 957.3	7.0	NA	 6.2
495	1950	5	  3.0	  6.9	 15.2	11	 -0.8	 -7.0	3	NA	  5.6	  1.5	19	 973.1	5.5	NA	 4.8
495	1950	6	  6.4	 11.1	 19.8	18	  2.2	 -1.5	30	NA	 16.5	  4.7	20	 963.0	6.2	NA	 4.7
495	1950	7	  9.5	 14.1	 18.7	5	NA	NA	NA	NA	 67.9	 26.8	25	 963.7	6.4	NA	 5.9
495	1950	8	  9.0	 13.4	 19.2	1	NA	NA	NA	NA	 65.0	 17.4	17	 959.1	7.1	NA	 4.4
495	1950	9	  3.4	  6.5	 12.2	3	  1.0	 -5.0	19	NA	 91.2	 14.7	9	 952.7	7.5	NA	 3.9
495	1950	10	  0.3	  2.1	  7.4	24	 -1.9	 -7.0	8	NA	 41.6	 10.0	22	 955.9	7.1	NA	 4.7
495	1950	11	 -3.5	 -1.1	  7.2	6	 -6.6	-14.1	24	NA	 11.4	  2.9	14	 957.2	6.6	NA	 4.0
495	1950	12	 -6.8	 -4.1	  2.6	18	-10.0	-22.0	13	NA	 27.7	  3.3	1	 961.8	7.0	NA	 4.4
495	1951	1	 -6.4	 -3.7	  3.2	23	-10.2	-20.0	1	NA	 32.1	  3.6	14	 951.0	6.6	NA	 5.3
495	1951	2	 -4.3	 -2.0	  3.2	12	 -7.6	-20.0	24	NA	  7.3	  3.0	2	 950.9	7.2	NA	 6.6
495	1951	3	 -7.4	 -4.4	  2.7	1	-11.2	-18.0	15	NA	  0.0	  0.0	3	 966.5	7.4	NA	 7.9
495	1951	4	 -5.2	 -1.7	  7.2	30	 -8.6	-16.1	11	NA	  0.0	  0.0	1	 967.2	6.4	NA	 5.7
495	1951	5	  4.3	  8.2	 17.4	28	  0.7	 -6.0	4	NA	  2.8	  1.1	18	 973.2	5.3	NA	 4.2
495	1951	6	  7.4	 11.8	 20.4	25	  2.4	 -2.5	9	NA	  9.6	  4.0	30	 969.8	4.6	NA	 3.4
495	1951	7	  8.6	 13.4	 17.2	13	  4.7	  0.0	25	NA	 32.3	  7.5	2	 962.4	6.5	NA	 3.2
495	1951	8	  7.7	 11.9	 18.2	16	  4.2	 -2.0	8	NA	 61.7	 21.0	29	 959.9	6.8	NA	 3.4
495	1951	9	  5.7	  9.6	 17.2	21	  3.0	 -2.9	7	NA	 50.1	  9.3	3	 959.5	6.9	NA	 3.4
495	1951	10	  2.0	  5.7	 13.4	1	 -1.7	-15.0	24	NA	 13.8	  4.5	20	 955.8	6.1	NA	 5.3
495	1951	11	 -2.8	 -0.7	  4.2	12	 -6.2	-20.0	24	NA	 21.6	  5.0	13	 959.0	7.2	NA	 3.3
495	1951	12	 -4.7	 -1.9	  5.2	12	 -7.7	-20.0	10	NA	 28.3	  4.5	5	 941.1	6.5	NA	 5.9
495	1952	1	 -6.8	 -4.0	  3.5	20	-10.0	-18.0	28	NA	 33.5	  3.0	31	 949.6	7.2	NA	 7.4
495	1952	2	 -4.7	 -1.1	  5.3	19	 -7.5	-15.0	4	NA	  6.6	  2.1	1	 961.7	6.7	NA	 4.4
495	1952	3	 -3.9	 -1.1	  4.2	13	 -6.9	-17.0	3	NA	  0.0	  0.0	3	 963.6	6.1	NA	 4.0
495	1952	4	 -1.3	  2.0	  7.2	25	 -4.2	-15.0	9	NA	  0.0	  0.0	4	 956.1	6.5	NA	 3.1
495	1952	5	  1.9	  5.2	 15.2	18	 -0.8	 -6.2	4	NA	 19.3	  3.2	28	 971.8	NA	NA	NA
495	1952	6	  2.6	  6.2	 15.3	23	  0.0	 -5.0	1	NA	 30.7	  3.9	6	 964.1	7.4	NA	 3.3
495	1952	7	  8.3	 12.3	 24.2	23	  3.8	 -0.8	13	NA	 69.6	 22.7	30	 964.9	6.7	NA	 3.5
495	1952	8	  6.2	 11.2	 15.7	18	  2.7	 -4.0	28	NA	 66.0	 16.1	31	 964.4	6.1	NA	 3.0
495	1952	9	  4.0	  8.0	 19.7	8	  0.4	 -5.8	17	NA	 62.0	 20.0	2	 967.5	5.9	NA	 3.9
495	1952	10	  2.0	  4.5	 10.2	18	 -0.7	-10.3	10	NA	 41.4	  9.4	6	 957.5	6.6	NA	 5.6
495	1952	11	 -1.5	  0.5	  6.2	18	 -4.9	-15.0	23	NA	  6.3	  1.5	5	 966.3	6.0	NA	 3.7
