Program,RingNo,Species,ColourRing,RingerCode,Ringer,RingingDate,SiteID,AgeCode,Age,SEX,Notes
REYK,14499,Fálki,,32,Finnur Guðmundsson,7/31/1954,3376,202,Eldisungi,0,"Tekinn úr hr. alinn til útflutnings á Ystafelli, S-Þing."
REYK,2451,Fálki,,62,Helgi Þórarinsson (eldri),7/8/1940,703,101,Ófleygur ungi í hreiðri,0,
REYK,2452,Fálki,,62,Helgi Þórarinsson (eldri),7/8/1940,703,101,Ófleygur ungi í hreiðri,0,
REYK,2453,Fálki,,62,Helgi Þórarinsson (eldri),7/8/1940,703,101,Ófleygur ungi í hreiðri,0,
REYK,32671,Fálki,,88,Hallgrímur Sæmundsson,9/28/1943,3437,460,Fullvaxinn (1. árs+),0,
REYK,21602,Fálki,,97,Tryggvi Eyjólfsson,9/12/1958,1743,100,Ófleygur ungi,0,
REYK,33202,Fálki,,139,Ragnar Víkingsson,12/14/1952,400,305,Fleygur ungi,0,
REYK,36240,Fálki,,145,Tryggvi Stefánsson (1953),6/13/1958,1304,101,Ófleygur ungi í hreiðri,0,
REYK,21739,Fálki,,148,Óskar J. Sigurðsson,10/31/1966,1914,410,Fullvaxinn (1. ár),0,
REYK,21795,Fálki,,148,Óskar J. Sigurðsson,2/17/2001,1910,400,Fullvaxinn,0,Hv.F.í Brynjólfi ÁR 1.2.
REYK,139401,Fálki,,148,Óskar J. Sigurðsson,10/11/2013,1914,410,Fullvaxinn (1. ár),0,
REYK,35406,Fálki,,152,Tryggvi Sigtryggsson,6/21/1958,3323,101,Ófleygur ungi í hreiðri,0,"Systkini: 35407, 35408, 35409."
REYK,35407,Fálki,,152,Tryggvi Sigtryggsson,6/21/1958,3323,101,Ófleygur ungi í hreiðri,0,"Systkini: 35406, 35408, 35409."
REYK,35408,Fálki,,152,Tryggvi Sigtryggsson,6/21/1958,3323,101,Ófleygur ungi í hreiðri,0,"Systkini: 35406, 35407, 35409."
REYK,35409,Fálki,,152,Tryggvi Sigtryggsson,6/21/1958,3323,101,Ófleygur ungi í hreiðri,0,"Systkini: 35406, 35407, 35408."
REYK,22446,Fálki,,159,Sigurður Helgason,12/20/1961,1670,460,Fullvaxinn (1. árs+),M,
REYK,18551,Fálki,,191,Ævar Petersen,4/23/1977,20,400,Fullvaxinn,0,
REYK,17957,Fálki,,191,Ævar Petersen,5/23/1986,3502,400,Fullvaxinn,0,"Fannst við Ásgarð í Breiðdal, S-Múl. 7.5.1986, þveginn og sleppt 23.5."
REYK,0457,Fálki,,214,Sigurgeir Sigurðsson,11/10/1973,1910,410,Fullvaxinn (1. ár),0,
REYK,16202,Fálki,,214,Sigurgeir Sigurðsson,3/25/1989,1910,400,Fullvaxinn,0,
REYK,17512,Fálki,,214,Sigurgeir Sigurðsson,3/22/1992,1910,492,"Fullvaxinn í haldi, sleppt annars staðar",0,"Fannst 1.3.1992 illa á sig kominn, horaður, gat ekki flogið."
REYK,15551,Fálki,,216,Ólafur K. Nielsen,7/12/1975,3396,101,Ófleygur ungi í hreiðri,0,
REYK,15552,Fálki,,216,Ólafur K. Nielsen,7/12/1975,3396,101,Ófleygur ungi í hreiðri,0,
REYK,15553,Fálki,,216,Ólafur K. Nielsen,7/12/1975,3396,101,Ófleygur ungi í hreiðri,0,
REYK,15554,Fálki,,216,Ólafur K. Nielsen,6/20/1976,1324,100,Ófleygur ungi,0,
REYK,15555,Fálki,,216,Ólafur K. Nielsen,6/20/1976,1324,100,Ófleygur ungi,0,
REYK,15556,Fálki,,216,Ólafur K. Nielsen,6/20/1976,1324,100,Ófleygur ungi,0,
REYK,15557,Fálki,,216,Ólafur K. Nielsen,6/20/1976,1324,100,Ófleygur ungi,0,
REYK,15558,Fálki,,216,Ólafur K. Nielsen,7/25/1976,2401,100,Ófleygur ungi,0,
REYK,15559,Fálki,,216,Ólafur K. Nielsen,6/15/1978,1324,100,Ófleygur ungi,0,
REYK,15560,Fálki,,216,Ólafur K. Nielsen,6/15/1978,1324,100,Ófleygur ungi,0,
REYK,15561,Fálki,,216,Ólafur K. Nielsen,6/15/1978,1324,100,Ófleygur ungi,0,
REYK,15562,Fálki,,216,Ólafur K. Nielsen,6/15/1978,1324,101,Ófleygur ungi í hreiðri,0,
REYK,15563,Fálki,,216,Ólafur K. Nielsen,7/6/1978,1293,100,Ófleygur ungi,0,
REYK,15564,Fálki,,216,Ólafur K. Nielsen,7/6/1978,1293,100,Ófleygur ungi,0,
REYK,15565,Fálki,,216,Ólafur K. Nielsen,7/6/1978,1293,100,Ófleygur ungi,0,
REYK,15566,Fálki,,216,Ólafur K. Nielsen,7/6/1978,1293,100,Ófleygur ungi,0,
REYK,110153,Fálki,,216,Ólafur K. Nielsen,6/9/1981,1262,100,Ófleygur ungi,F,
REYK,110154,Fálki,,216,Ólafur K. Nielsen,6/9/1981,1262,100,Ófleygur ungi,M,
REYK,110155,Fálki,,216,Ólafur K. Nielsen,6/9/1981,1262,100,Ófleygur ungi,M,
REYK,110156,Fálki,,216,Ólafur K. Nielsen,6/10/1981,1446,100,Ófleygur ungi,M,
REYK,110157,Fálki,,216,Ólafur K. Nielsen,6/10/1981,1446,100,Ófleygur ungi,M,
REYK,110158,Fálki,,216,Ólafur K. Nielsen,6/10/1981,1446,100,Ófleygur ungi,M,
REYK,110159,Fálki,,216,Ólafur K. Nielsen,6/10/1981,1446,100,Ófleygur ungi,F,
REYK,110168,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1384,100,Ófleygur ungi,F,
REYK,110169,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1384,100,Ófleygur ungi,M,
REYK,110170,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1384,100,Ófleygur ungi,F,
REYK,110160,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1391,100,Ófleygur ungi,M,
REYK,110163,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1391,100,Ófleygur ungi,M,
REYK,110164,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1391,501,Fullorðinn með hreiður,F,
REYK,110165,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1229,100,Ófleygur ungi,F,
REYK,110166,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1229,100,Ófleygur ungi,M,
REYK,110167,Fálki,,216,Ólafur K. Nielsen,6/11/1981,1229,100,Ófleygur ungi,F,
REYK,110161,Fálki,,216,Ólafur K. Nielsen,6/11/1981,2318,100,Ófleygur ungi,F,
REYK,110162,Fálki,,216,Ólafur K. Nielsen,6/11/1981,2318,100,Ófleygur ungi,M,
REYK,110171,Fálki,,216,Ólafur K. Nielsen,6/13/1981,2356,100,Ófleygur ungi,M,
REYK,110172,Fálki,,216,Ólafur K. Nielsen,6/13/1981,2356,100,Ófleygur ungi,M,
REYK,110173,Fálki,,216,Ólafur K. Nielsen,6/13/1981,2356,100,Ófleygur ungi,F,
REYK,110174,Fálki,,216,Ólafur K. Nielsen,6/13/1981,1330,100,Ófleygur ungi,F,
REYK,110175,Fálki,,216,Ólafur K. Nielsen,6/13/1981,1330,100,Ófleygur ungi,F,
REYK,110176,Fálki,,216,Ólafur K. Nielsen,6/13/1981,1330,100,Ófleygur ungi,M,
REYK,110177,Fálki,,216,Ólafur K. Nielsen,6/16/1981,1273,100,Ófleygur ungi,M,
REYK,110178,Fálki,,216,Ólafur K. Nielsen,6/16/1981,1273,100,Ófleygur ungi,F,
REYK,110179,Fálki,,216,Ólafur K. Nielsen,6/16/1981,1273,100,Ófleygur ungi,M,
REYK,110184,Fálki,,216,Ólafur K. Nielsen,6/17/1981,1488,100,Ófleygur ungi,F,
REYK,110185,Fálki,,216,Ólafur K. Nielsen,6/17/1981,1488,100,Ófleygur ungi,F,
REYK,110186,Fálki,,216,Ólafur K. Nielsen,6/22/1981,3317,100,Ófleygur ungi,F,
REYK,110187,Fálki,,216,Ólafur K. Nielsen,6/22/1981,3317,100,Ófleygur ungi,F,
